startDate,ms_played,track_name_x,artist_name,album_name_x,track_id,type,sourceName,value,unit,endDate,Unnamed: 0,artists,album_name_y,track_name_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2023-11-20 23:20:00,5236,Zaara-Bauji Theme (Instrumental),Madan Mohan,The Love Legend Themes: Veer-Zaara Themes & Instrumental Scores,0N7I4n27C4ohUpssooA2LC,StepCount,Casio G-Shock,28.0,count,11/20/23 23:21,,,,,,,,,,,,,,,,,,,,
2023-11-20 23:30:00,5259,Dil-E-Naadaan Tujhe Hua Kya Hai,Jagjit Singh,Main Ghalib,32pak2UWgCO1r5fZwUPKOa,StepCount,Casio G-Shock,15.0,count,11/20/23 23:38,,,,,,,,,,,,,,,,,,,,
2023-11-21 19:40:00,430,Hotty Naughty - Remix Version,Kalpana Patowary,De Dana Dan,4iddA3wMA54ChHBKuPQCb2,StepCount,Casio G-Shock,12.0,count,11/21/23 19:48,,,,,,,,,,,,,,,,,,,,
2023-11-21 19:50:00,231110,Rishte Naate,Rahat Fateh Ali Khan,De Dana Dan,5fKzdTKPV9vT4WEjEdxXrt,StepCount,Casio G-Shock,6.0,count,11/21/23 19:59,,,,,,,,,,,,,,,,,,,,
2023-11-22 18:50:00,27061,Samjhawan,Jawad Ahmad,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),4LO5DjN6Tp3UkUvgESuy2t,StepCount,Casio G-Shock,8.0,count,11/22/23 18:56,81751.0,Jawad Ahmad;Shaarib Toshi;Arijit Singh;Shreya Ghoshal,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),Samjhawan,65.0,269184.0,False,0.65,0.482,4.0,-8.667,1.0,0.0281,0.293,0.0,0.0811,0.517,106.994,4.0,pop
2023-11-22 19:30:00,14389,Pyar Diwana Hota Hain,Kishore Kumar,Classic Revival Tum Mile Pyar Se,2lZlmPPPD89y8dbcfUkrCE,StepCount,Casio G-Shock,8.0,count,11/22/23 19:31,,,,,,,,,,,,,,,,,,,,
2023-11-22 19:50:00,56482,Mana Janab Ne Pukara Nahin,Kishore Kumar,Kishore Kumar Masti Ki Chakri,7Hapk4X6sZ48WbPV27KHNq,StepCount,Casio G-Shock,66.0,count,11/22/23 20:00,,,,,,,,,,,,,,,,,,,,
2023-11-22 20:00:00,294333,Tere Mere Milan Ki Yeh Raina,Lata Mangeshkar,Remembering Lata Mangeshkar,4APKfi2FMNCu5zo6RwUq1O,StepCount,Casio G-Shock,693.0,count,11/22/23 20:14,,,,,,,,,,,,,,,,,,,,
2023-11-22 20:10:00,269551,Chala Jata Hoon,Kishore Kumar,Kishore Kumar Masti Ki Chakri,5qQIs3YxG66SUHK3KHhSIr,StepCount,iPhone 4s,27.0,count,11/22/23 20:24,,,,,,,,,,,,,,,,,,,,
2023-11-22 20:40:00,16586,Meri Bheegi Bheegi Si,Kishore Kumar,Anamika,66pgL55KG00oTsxzTw7tBE,StepCount,Casio G-Shock,42.0,count,11/22/23 20:51,,,,,,,,,,,,,,,,,,,,
2023-11-22 21:00:00,258588,Ghum Hai Kisi Ke Pyar Mein,Lata Mangeshkar,Lata Mangeshkar Songs Geet,7IqEZMYay7OwgZKICObujt,StepCount,Casio G-Shock,42.0,count,11/22/23 21:09,,,,,,,,,,,,,,,,,,,,
2023-11-22 21:10:00,221080,Kehna Hai Kehna Hai,Kishore Kumar,Padosan,1KxcQHJf7HC57jomPJ19Qj,StepCount,Casio G-Shock,16.0,count,11/22/23 21:10,,,,,,,,,,,,,,,,,,,,
2023-11-22 21:20:00,325746,Apni To Jaise Taise Dialogue,Kishore Kumar,Laawaris,04ktwHoyF8ELtSfjz8tc7M,StepCount,Casio G-Shock,79.0,count,11/22/23 21:30,,,,,,,,,,,,,,,,,,,,
2023-11-22 21:30:00,252760,Zindagi Ka Safar Hai Yeh Kaisa Safar,Kishore Kumar,Revival Vol.7 Yeh Jeevan Hai,2mOBH5czTRRLI8ISc02U7B,StepCount,Casio G-Shock,41.0,count,11/22/23 21:40,,,,,,,,,,,,,,,,,,,,
2023-11-22 21:40:00,357120,Lekar Hum Diwana Dil,Asha Bhosle,Yaadon Ki Baaraat,4gW8O7mQb1qZ5fl4VcoKi3,StepCount,Casio G-Shock,17.0,count,11/22/23 21:50,,,,,,,,,,,,,,,,,,,,
2023-11-22 22:00:00,297026,Kanchi Re Kanchi Re,Lata Mangeshkar,Hare Rama Hare Krishna,0dPz77kgQAIl1f4x1IeyTm,StepCount,iPhone 4s,327.0,count,11/22/23 22:16,,,,,,,,,,,,,,,,,,,,
2023-11-22 22:10:00,59822,Ek Hasina Thi Ek Diwana Tha,Kishore Kumar,Karz,1QqtOXpvfLPW4yEuAXJKDk,StepCount,Casio G-Shock,1.0,count,11/22/23 22:16,,,,,,,,,,,,,,,,,,,,
2023-11-22 22:50:00,235829,Aasman Ke Neeche,Lata Mangeshkar,Jewel Thief,4RUBGBppd71QQy4lLJ1mvw,StepCount,Casio G-Shock,56.0,count,11/22/23 23:09,,,,,,,,,,,,,,,,,,,,
2023-11-22 23:00:00,172396,Mere Samnewali Khidki Mein,Kishore Kumar,Kishore Kumar Masti Ki Chakri,4qFuyUsbJKucXXc4DFQLbY,StepCount,iPhone 4s,10.0,count,11/22/23 23:09,,,,,,,,,,,,,,,,,,,,
2023-11-22 23:10:00,215273,Mera Jeevan Kora Kagaz,Kishore Kumar,Kora Kagaz,1MUol1Uw9JKRL7mV17iBwT,StepCount,Casio G-Shock,51.0,count,11/22/23 23:22,,,,,,,,,,,,,,,,,,,,
2023-11-22 23:40:00,264707,Haal Kaisa Hai Janab Ka,Asha Bhosle,Chalti Ka Naam Gaadi,3uvvmqUNKEzZtZWOQrQqq0,StepCount,Casio G-Shock,29.0,count,11/22/23 23:47,,,,,,,,,,,,,,,,,,,,
2023-11-22 23:50:00,22629,Aa Chal Ke Tujhe,Kishore Kumar,Door Gagan Ki Chhaon Mein,53keqrDTkt1GE9hJgUoql4,StepCount,Casio G-Shock,55.0,count,11/23/23 0:00,,,,,,,,,,,,,,,,,,,,
