startDate,ms_played,track_name_x,artist_name,album_name_x,track_id,value,unit,endDate,artists,album_name_y,track_name_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
11/13/23 19:30,248760,Tere Liye,Madan Mohan,Veer - Zaara,3i11e2jzUtO3jChiFl3v9x,58,count/min,11/13/23 19:34,Madan Mohan;Lata Mangeshkar;Roop Kumar Rathod;Javed Akhtar,Veer - Zaara,Tere Liye,63,331676,FALSE,0.525,0.46,1,-8.594,0,0.0246,0.826,0.00202,0.139,0.33,98.007
11/13/23 19:30,248760,Tere Liye,Madan Mohan,Veer - Zaara,3i11e2jzUtO3jChiFl3v9x,58,count/min,11/13/23 19:34,Madan Mohan;Lata Mangeshkar;Roop Kumar Rathod;Javed Akhtar,Veer - Zaara,Tere Liye,63,331676,FALSE,0.525,0.46,1,-8.594,0,0.0246,0.826,0.00202,0.139,0.33,98.007
11/13/23 19:40,196608,Aisa Des Hai Mera,Madan Mohan,Veer - Zaara,4M7pu2MwyGysZM4deGXueq,61,count/min,11/13/23 19:46,Madan Mohan;Lata Mangeshkar;Udit Narayan;Javed Akhtar,Veer - Zaara,Aisa Des Hai Mera,51,427781,FALSE,0.563,0.803,5,-6.651,0,0.117,0.589,0,0.0735,0.792,82.909
11/13/23 20:50,207031,Rock On!!,Farhan Akhtar,Rock On,6fABlNfAOylt7ZxfX8K1XL,112,count/min,11/13/23 20:59,,,,,,,,,,,,,,,,,
11/13/23 21:00,30031,Pichle Saat Dinon Mein (Live Version),Farhan Akhtar,Rock On,63ideCSFf24cQzGdgg4kjG,70,count/min,11/13/23 21:07,,,,,,,,,,,,,,,,,
11/13/23 21:10,240723,Bhula Dena,Mustafa Zahid,Aashiqui 2,0WNCYgCd33LnBnw22WFuq8,70,count/min,11/13/23 21:18,Mustafa Zahid,Aashiqui 2,Bhula Dena,63,240723,FALSE,0.515,0.508,4,-6.66,0,0.0297,0.633,0,0.203,0.235,131.731
11/13/23 21:10,240723,Bhula Dena,Mustafa Zahid,Aashiqui 2,0WNCYgCd33LnBnw22WFuq8,70,count/min,11/13/23 21:18,Mustafa Zahid,Aashiqui 2,Bhula Dena,63,240723,FALSE,0.515,0.508,4,-6.66,0,0.0297,0.633,0,0.203,0.235,131.731
11/13/23 21:20,202919,Sooraj Ki Baahon Mein,Dominique Cerejo,Zindagi Na Milegi Dobara,723xQva0yBF7M6K3nDAG8R,67.6335,count/min,11/13/23 21:26,,,,,,,,,,,,,,,,,
11/13/23 21:30,300719,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,71,count/min,11/13/23 21:38,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49,300719,FALSE,0.586,0.524,1,-8.576,1,0.0436,0.74,2.98E-06,0.136,0.529,98.077
11/13/23 21:30,300719,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,71,count/min,11/13/23 21:38,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49,300719,FALSE,0.586,0.524,1,-8.576,1,0.0436,0.74,2.98E-06,0.136,0.529,98.077
