startDate,ms_played,track_name,artist_name,album_name,url,type,sourceName,value,unit,endDate
2023-11-21 01:10:00,252200,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA,HeartRate,Casio G-Shock,62.0,count/min,11/21/23 1:19
2023-11-21 01:20:00,202292,Main Yahaan Hoon (Instrumental),Madan Mohan,Romancing The Legend: Veer-Zaara Instrumental,spotify:track:5mkLx3WvzQd6DflyamDOGz,HeartRate,Casio G-Shock,63.0,count/min,11/21/23 1:29
2023-11-21 01:30:00,124180,Tere Naina,Shankar-Ehsaan-Loy,My Name Is Khan (Original Motion Picture Soundtrack),spotify:track:3hoXhwP0ub9LdSJV4olDIc,HeartRate,Casio G-Shock,57.0,count/min,11/21/23 1:34
2023-11-21 03:50:00,100,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA,HeartRate,Casio G-Shock,58.0,count/min,11/21/23 3:54
2023-11-21 04:10:00,127300,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA,HeartRate,Casio G-Shock,53.0,count/min,11/21/23 4:19
2023-11-21 19:30:00,252200,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA,HeartRate,Casio G-Shock,84.0,count/min,11/21/23 19:38
2023-11-21 19:40:00,430,Hotty Naughty - Remix Version,Kalpana Patowary,De Dana Dan,spotify:track:4iddA3wMA54ChHBKuPQCb2,HeartRate,Casio G-Shock,87.0,count/min,11/21/23 19:45
2023-11-21 19:50:00,231110,Rishte Naate,Rahat Fateh Ali Khan,De Dana Dan,spotify:track:5fKzdTKPV9vT4WEjEdxXrt,HeartRate,Casio G-Shock,76.0,count/min,11/21/23 19:58
2023-11-22 18:30:00,36740,Rishte Naate,Rahat Fateh Ali Khan,De Dana Dan,spotify:track:5fKzdTKPV9vT4WEjEdxXrt,HeartRate,Casio G-Shock,72.0,count/min,11/22/23 18:34
2023-11-22 18:40:00,252200,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA,HeartRate,Casio G-Shock,71.0,count/min,11/22/23 18:46
2023-11-22 18:50:00,27061,Samjhawan,Jawad Ahmad,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),spotify:track:4LO5DjN6Tp3UkUvgESuy2t,HeartRate,Casio G-Shock,69.0,count/min,11/22/23 18:59
2023-11-22 19:00:00,242080,Commentry Tabassum And Humen Tumse Pyar Kitna,Tabassum,Flash Back - Kishore Kumar With Tabassum,spotify:track:0whjGr7gU3X93lNTpLQhys,HeartRate,Casio G-Shock,75.0,count/min,11/22/23 19:05
2023-11-22 19:10:00,228960,Bheegi Bheegi Raaton Mein,Lata Mangeshkar,Remembering Lata Mangeshkar,spotify:track:2TFQJcS4LnIe5HBHCsL3WM,HeartRate,Casio G-Shock,71.0,count/min,11/22/23 19:14
