27676,KANA-BOON - Silhouette,"Feb 28, 2024, 9:19:51 AM PST",Entertainment,,NEGATIVE,0.5837777853012085,guide,entertainment,"casual,professional,informative,dramatic,funny",0.8305826783180237
27677,SAKHIYAAN (Full Song) Maninder Buttar | MixSingh | Babbu | Punjabi Songs | Sakhiyan | Ishtar Punjabi,"Feb 28, 2024, 9:16:31 AM PST",Music,Music Mix,NEGATIVE,0.6084856390953064,unknown,unknown,,0.9920556545257568
27678,Ritviz - Liggi [Official Music Video],"Feb 28, 2024, 1:44:06 AM PST",Music,Official Music Video,NEGATIVE,0.6218842267990112,unknown,unknown,,0.9880975484848022
27679,Ritviz - Udd Gaye [Official Audio],"Feb 28, 2024, 1:41:05 AM PST",Music,Music Mix,NEGATIVE,0.9819720387458801,unknown,unknown,,0.997364342212677
27680,Chaand Baaliyan - Aditya A. (Official Video),"Feb 28, 2024, 1:39:21 AM PST",Entertainment,,POSITIVE,0.9938799142837524,reaction,storytelling,"dramatic,informative,funny,professional,serious",0.9716155529022217
27681,"Apna Bana Le - Bhediya | Varun Dhawan, Kriti Sanon| Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya","Feb 28, 2024, 1:35:32 AM PST",Entertainment,,POSITIVE,0.8422959446907043,reaction,entertainment,"funny,dramatic,informative,serious,personal,professional",0.8950905799865723
27682,"Maiyya Mainu - Lyrical | Jersey | Shahid Kapoor, Mrunal Thakur| Sachet-Parampara| Shellee | Gowtam T","Feb 28, 2024, 1:31:30 AM PST",Comedy,,POSITIVE,0.9363340139389038,commentary,storytelling,"funny,casual,dramatic",0.9630535244941711
27683,"Makhna - Drive| Sushant Singh Rajput, Jacqueline Fernandez| Tanishk Bagchi, Asees Kaur","Feb 28, 2024, 1:25:38 AM PST",Entertainment,,NEGATIVE,0.5366427302360535,guide,entertainment,"informative,dramatic,funny,serious,professional",0.1691114455461502
27684,INSANE - AP DHILLON | GURINDER GILL | SHINDA KAHLON (Official Music Video),"Feb 28, 2024, 1:22:14 AM PST",Music,Official Music Video,POSITIVE,0.9587003588676453,unknown,unknown,,0.9930223822593689
27685,Excuses (Official Video) | AP Dhillon | Gurinder Gill | Intense,"Feb 28, 2024, 1:16:34 AM PST",Entertainment,,NEGATIVE,0.9896346926689148,commentary,storytelling,"dramatic,serious,informative,professional,funny",0.6254066228866577
27686,Ritviz - Jeet [Official Music Video],"Feb 28, 2024, 1:13:16 AM PST",Music,Official Music Video,POSITIVE,0.7974329590797424,unknown,unknown,,0.9936003684997559
27687,Ritviz - Sage [Official Music Video],"Feb 28, 2024, 1:09:11 AM PST",Music,Official Music Video,POSITIVE,0.8518282771110535,unknown,unknown,,0.9865063428878784
27688,Rangi Saari | Kanishk Seth & Kavita Seth | Official Music Video,"Feb 28, 2024, 1:05:37 AM PST",Music,Official Music Video,POSITIVE,0.9909259080886841,unknown,unknown,,0.997988224029541
27689,"Akhiyaan Gulaab (Song): Shahid Kapoor, Kriti Sanon | Mitraz | Teri Baaton Mein Aisa Uljha Jiya","Feb 28, 2024, 1:03:27 AM PST",Music,Official Music Video,POSITIVE,0.9697220921516418,unknown,unknown,,0.9953700304031372
27690,Coke Studio | Season 14 | Pasoori | Ali Sethi x Shae Gill,"Feb 28, 2024, 12:54:20 AM PST",Podcast,,POSITIVE,0.8197348117828369,guide,storytelling,"informative,professional,dramatic,funny,serious",0.8857947587966919
27691,Maan Meri Jaan | Official Music Video | Champagne Talk | King,"Feb 28, 2024, 12:50:01 AM PST",Music,Official Music Video,POSITIVE,0.9941864013671875,unknown,unknown,,0.9963053464889526
27692,King x Nick Jonas - Maan Meri Jaan (Afterlife) [Official Video],"Feb 28, 2024, 12:46:53 AM PST",Music,Official Music Video,POSITIVE,0.8751393556594849,unknown,unknown,,0.9966831803321838
27693,With You - AP Dhillon (Official Music Video),"Feb 28, 2024, 12:44:18 AM PST",Music,Official Music Video,POSITIVE,0.9988898634910583,unknown,unknown,,0.9959681034088135
27694,DIL NU - AP DHILLON | SHINDA KAHLON (Official Audio),"Feb 28, 2024, 12:40:18 AM PST",Music,Music Mix,POSITIVE,0.7209709882736206,unknown,unknown,,0.9926182627677917
27695,MITRAZ - Muskurahat (Official Audio),"Feb 28, 2024, 12:36:03 AM PST",Music,Music Mix,NEGATIVE,0.8274638652801514,unknown,unknown,,0.9926179051399231
27696,MITRAZ - Akhiyaan (Official Music Video),"Feb 28, 2024, 12:32:52 AM PST",Music,Official Music Video,POSITIVE,0.9222614765167236,unknown,unknown,,0.9962985515594482
27697,Best of lofi hip hop 2022 🎆 - beats to relax/study to,"Feb 28, 2024, 12:25:42 AM PST",Music,Music Review,POSITIVE,0.9989936947822571,unknown,unknown,,0.9879947304725647
27698,"VØJ, Narvent - Memory Reboot (4K Music Video)","Feb 28, 2024, 12:21:42 AM PST",Music,Official Music Video,NEGATIVE,0.9937934875488281,unknown,unknown,,0.9975586533546448
27699,Sound Of Walking Away X Divinity X Shelter (Music Video),"Feb 28, 2024, 12:14:05 AM PST",Music,Music Mix,NEGATIVE,0.9842373728752136,unknown,unknown,,0.9950057864189148
27700,Everything STAYs On,"Feb 28, 2024, 12:10:13 AM PST",Technology,,POSITIVE,0.9992398023605347,guide,information,"professional,informative,serious",0.737265408039093
27701,All Automated EDA Libraries All At One Place,"Feb 27, 2024, 11:26:34 PM PST",Technology,,NEGATIVE,0.95525062084198,news,education,"informative,professional,dramatic,serious",0.9710353016853333
27702,How I'd Learn PYTHON For DATA ANALYSIS | If I Had To Start Over Again,"Feb 27, 2024, 11:07:19 PM PST",Technology,,NEGATIVE,0.9966647028923035,guide,information,"serious,informative,personal,dramatic,funny",0.9581184983253479
27703,Data Visualization Tutorial For Beginners | Big Data Analytics Tutorial | Simplilearn,"Feb 27, 2024, 10:54:35 PM PST",Tutorial,,NEGATIVE,0.9319044947624207,tutorial,information,informative,0.9811196327209473
27704,Mahiye Jinna Sohna,"Feb 27, 2024, 5:18:48 PM PST",Entertainment,,NEGATIVE,0.7192556262016296,guide,information,"informative,dramatic,serious,funny,professional,casual,personal",0.5022781491279602
27705,Bye,"Feb 27, 2024, 5:15:54 PM PST",Podcast,,NEGATIVE,0.9684282541275024,reaction,information,"casual,dramatic,personal,serious,professional,funny,informative",0.5233432650566101
27706,Akhiyaan Gulaab,"Feb 27, 2024, 5:13:03 PM PST",Comedy,,NEGATIVE,0.8898099064826965,reaction,information,"informative,dramatic,funny,serious,professional,casual,personal",0.6217514276504517
27707,Ishq Jaisa Kuch,"Feb 27, 2024, 5:10:13 PM PST",Comedy,,POSITIVE,0.868065357208252,reaction,comedy,"informative,funny,dramatic,serious,professional,casual,personal",0.8213930726051331
27708,Ve Kamleya - Asees Version,"Feb 27, 2024, 5:07:13 PM PST",Entertainment,,NEGATIVE,0.9643954634666443,reaction,information,"informative,dramatic,serious,funny,professional",0.35543447732925415
27709,"Apna Bana Le (From ""Bhediya"")","Feb 27, 2024, 5:03:14 PM PST",Comedy,,NEGATIVE,0.9769564270973206,reaction,storytelling,"funny,dramatic,informative,serious,casual",0.5790274739265442
27710,Dil Nu,"Feb 27, 2024, 4:59:21 PM PST",Comedy,,POSITIVE,0.5036099553108215,reaction,information,"dramatic,serious,informative,casual,funny,professional,personal",0.36898285150527954
27711,Maan Meri Jaan,"Feb 27, 2024, 4:56:06 PM PST",Comedy,,POSITIVE,0.9047510027885437,reaction,comedy,"funny,dramatic,informative,serious,casual,personal,professional",0.8082795143127441
27712,Mulaqat,"Feb 27, 2024, 4:52:02 PM PST",Entertainment,,NEGATIVE,0.9301766157150269,reaction,information,"dramatic,informative,serious,professional,funny,casual,personal",0.41506144404411316
