end_time,ms_played,track_name,artist_name,album_name,url
2023-11-20 17:50:00,42096,Kyon Hawa,Madan Mohan,Veer - Zaara,spotify:track:2cNeEQhITgmjkk5SHd5IXY
2023-11-20 22:40:00,1130,"Chaand Taare (From ""Yes Boss"")",Abhijeet,My Best Collection,spotify:track:5Cdd8p9sxRczQX6GFC8CdH
2023-11-20 23:10:00,46673,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA
2023-11-20 23:20:00,5236,Zaara-Bauji Theme (Instrumental),Madan Mohan,The Love Legend Themes: Veer-Zaara Themes & Instrumental Scores,spotify:track:0N7I4n27C4ohUpssooA2LC
2023-11-20 23:30:00,5259,Dil-E-Naadaan Tujhe Hua Kya Hai,Jagjit Singh,Main Ghalib,spotify:track:32pak2UWgCO1r5fZwUPKOa
2023-11-20 23:40:00,9680,Tere Liye,Madan Mohan,Veer - Zaara,spotify:track:3i11e2jzUtO3jChiFl3v9x
2023-11-20 23:50:00,177068,Titliaan,Afsana Khan,Titliaan,spotify:track:1980E4Grgu5xAhNbFZ1mb1
2023-11-21 00:00:00,910,Dil Todya,Satbir Aujla,Dil Todya,spotify:track:5XLGe55N7WuoXIgG60KR83
2023-11-21 00:10:00,2640,Mileya Mileya,Rekha Bhardwaj,Happy Ending (Original Motion Picture Soundtrack),spotify:track:2IarWd16hKAvXU8vnEunVb
2023-11-21 00:20:00,234486,Tu Jo Mila,Pritam,Bajrangi Bhaijaan,spotify:track:7txLCGOXyDlDXTjtR1Sk4v
2023-11-21 00:30:00,12030,Muja Laga Kabhi Phone Nahi Karoge Tum - Dialogue,Imran Hasmi,Murder,spotify:track:0Ffz0qYUGnL4Vuxx8cpnIN
2023-11-21 00:40:00,5670,Feel My Love,KK,Aarya,spotify:track:4EjO3ELtQkbOBox5adad6a
2023-11-21 00:50:00,10280,Uppenantha,Devi Sri Prasad,Aarya - 2 (Original Motion Picture Soundtrack),spotify:track:57zEYntUat0ofbFpoicN26
2023-11-21 01:00:00,343066,Yeh Hum Aa Gaye Hain Kahaan,Madan Mohan,Veer - Zaara,spotify:track:7sSYkaAXRgnzoQYrGgrvlX
2023-11-21 01:10:00,252200,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA
2023-11-21 01:20:00,202292,Main Yahaan Hoon (Instrumental),Madan Mohan,Romancing The Legend: Veer-Zaara Instrumental,spotify:track:5mkLx3WvzQd6DflyamDOGz
2023-11-21 01:30:00,124180,Tere Naina,Shankar-Ehsaan-Loy,My Name Is Khan (Original Motion Picture Soundtrack),spotify:track:3hoXhwP0ub9LdSJV4olDIc
2023-11-21 03:50:00,100,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA
2023-11-21 04:10:00,127300,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA
2023-11-21 19:30:00,252200,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA
2023-11-21 19:40:00,430,Hotty Naughty - Remix Version,Kalpana Patowary,De Dana Dan,spotify:track:4iddA3wMA54ChHBKuPQCb2
